age,gender,university_year,GPA,study_hours_per_day,class_attendance_percent,sleep_hours,screen_time_hours,social_media_hours,gaming_hours,exercise_hours_per_week,part_time_job,relationship_status,mental_stress_level,AI_tool_usage_hours,exam_preparation_days,coffee_consumption_per_day,extracurricular_hours_per_week,final_exam_score,assignment_score
23,Female,4,3.81,4.2,96,6.2,3.9,3.3,0,2.1,Yes,Single,4.8,1.5,15,3,7.6,100,100
26,Female,2,3.46,3.3,94,6.6,4.9,3.2,2.7,5,No,Single,3.9,2.3,11,3,5.2,100,83
18,Female,3,4,4.5,100,6.3,3.7,1.4,0,2.6,Yes,In a Relationship,4.8,0,12,3,4.6,100,100
20,Male,4,3.77,5.8,97,7.1,6.9,3.7,2.1,3.2,No,Single,5.9,2.9,11,1,4,100,98
28,Female,2,4,3.1,96,8.4,4.8,0.6,0,4.4,Yes,In a Relationship,3.1,1.5,15,4,1.4,100,94
18,Male,2,4,3.1,96,6.1,5.6,1.8,3.9,2.9,No,In a Relationship,5,1.3,13,3,1.7,96,94
27,Male,1,4,5.9,100,8.2,1.6,0,0.5,0,Yes,In a Relationship,2.9,0.2,22,2,3.8,100,97
19,Male,1,3.5,4.7,89,6.1,7.7,5.1,1.7,5.1,No,Single,5,0.6,10,0,0,100,93
20,Male,3,3.72,2.8,90,6,5.6,2.5,2.7,5.5,No,Single,5.3,0.8,21,0,4.7,100,100
21,Female,2,3.47,4.3,100,8,8.8,6.1,0.1,0,No,Single,6.2,0,3,1,4.1,92,99
26,Female,2,3.24,2.8,80,8.1,6.7,4,1.6,0.9,No,Single,4.3,0.9,14,3,4.2,100,81
25,Female,3,3.57,2.8,73,8,4.4,3.5,1.1,7,No,In a Relationship,3.2,0.3,4,3,5.3,92,88
24,Female,2,3.51,3.9,100,5.4,3.5,1.9,2.8,3.5,No,Single,5.2,1.9,7,1,1.2,100,94
26,Female,2,2.71,0.6,77,6.4,3.7,1.2,2.8,3,Yes,Single,4.8,0,7,2,5.6,74,87
26,Female,4,2.93,0.9,71,8,2.9,3.6,2,2.1,Yes,Single,3.4,1,7,1,6.1,92,85
19,Female,3,3.45,2.7,84,7,6.5,2.7,0,0.9,No,Single,4.8,0.2,9,2,2,100,99
21,Female,2,3.3,2,85,5.7,2.2,0.8,0.8,2.6,Yes,Single,3.8,1.2,23,1,1.5,96,98
24,Male,4,4,4,100,7.5,4.3,0.5,1.4,4.9,Yes,Single,2.5,3.6,8,1,5,100,100
25,Female,1,2.97,2.1,72,6.1,5.1,1.4,3.1,3,No,Single,5.2,2.9,4,2,0.3,87,67
21,Female,4,2.6,1.4,74,9.2,7.8,5.5,0,4.2,Yes,Single,3.9,0.7,14,1,4.2,87,75
24,Male,1,3.98,5.7,100,8.9,10.3,6.1,1.2,6.5,No,Single,3.4,1,13,3,3,100,93
18,Male,2,4,3.2,98,7.7,7,3.1,3.2,1.8,Yes,Single,3.4,0.4,23,2,7.4,96,100
26,Female,4,4,3.6,100,8.6,5.6,3,1.2,3.6,Yes,In a Relationship,3.3,1,12,3,0,98,100
23,Female,2,3.36,1.4,83,7.1,4.8,2.3,1.5,5,Yes,Single,2.7,1.9,1,3,6.6,72,99
18,Female,3,3.99,2.7,94,7.9,5.7,1.4,0,1.1,Yes,Single,2.7,0,10,3,3.8,100,100
27,Male,4,3.77,3.7,90,8.8,8.2,4.9,0.9,3.4,No,In a Relationship,3.3,2.8,10,0,6,98,97
24,Female,1,3.24,1.8,72,7.3,9.9,5.6,2.2,6.7,Yes,Single,3.5,2.1,6,3,2.8,97,84
19,Female,3,4,4.1,100,6.7,1.6,1.5,0.5,2.3,No,Single,3,2.1,9,2,3.4,100,100
22,Male,3,3.01,2.6,78,5,5.8,2.7,0,5.1,Yes,Single,4.7,1.6,11,3,2.5,100,77
23,Male,1,3.96,3.1,94,6.9,3.2,2.1,0.3,2.7,Yes,In a Relationship,1.9,0.3,12,0,1.9,100,92
22,Female,3,3.83,2.6,91,8,5.2,2.2,3.1,6.6,Yes,In a Relationship,2.1,2.2,5,1,1.5,100,84
21,Male,1,4,6.3,100,8.1,8.5,4.6,2,0,Yes,In a Relationship,4.9,0.9,15,5,4.6,100,100
